X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
391474,138950,20401305,2020/09/03 09:45:43+00,2020/09/02 17:30:00+00,2020/09/02 17:35:00+00,4880 - 4997 BLOCK OF MACARTHUR BOULEVARD NW,THEFT F/AUTO,OTHERS,MIDNIGHT,3,3D,2,205,Cluster 13,000804 2,000804,Precinct 8,,391474,138950,38.9183779882,-77.0983147201,941004258,
396028,136719,20026193,2020/02/13 03:18:56+00,2019/12/01 19:31:03+00,2020/02/12 20:36:50+00,2000 - 2099 BLOCK OF G STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2A,2,207,Cluster 5,010800 6,010800,Precinct 2,,396028,136719,38.8983127555,-77.0457889008,941004318,
397746,137450,20074716,2020/05/20 14:46:19+00,2020/05/20 14:02:05+00,2020/05/20 14:10:40+00,1100 - 1199 BLOCK OF 10TH STREET NW,THEFT/OTHER,OTHERS,DAY,2,2G,3,307,Cluster 8,004902 3,004902,Precinct 129,,397746,137450,38.9049039473,-77.0259863335,941004319,
397029,140633,20075962,2020/05/23 00:12:31+00,2020/05/22 22:50:34+00,2020/05/22 22:55:25+00,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,THEFT F/AUTO,OTHERS,EVENING,1,1D,4,408,Cluster 2,002801 1,002801,Precinct 41,,397029,140633,38.9335753185,-77.0342663901,941004320,
397228,137640,20168180,2020/11/25 16:30:57+00,2020/11/23 15:00:25+00,2020/11/25 12:30:27+00,1200 - 1299 BLOCK OF 14TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2F,2,208,Cluster 7,005203 3,005203,Precinct 17,,397228,137640,38.9066140526,-77.0319591144,941004321,
400139,137702,20171436,2020/12/02 16:43:50+00,2020/12/01 21:30:16+00,2020/12/02 12:00:16+00,500 - 599 BLOCK OF MORSE STREET NE,THEFT/OTHER,OTHERS,DAY,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,,400139,137702,38.9071769302,-76.99839742,941004322,
397965,138634,20006076,2020/01/11 10:59:19+00,2020/01/11 05:03:00+00,2020/01/11 05:43:09+00,800 - 899 BLOCK OF T STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,,397965,138634,38.9155703579,-77.0234649944,941004326,
396830,137427,20037450,2020/03/02 06:06:48+00,2020/03/01 23:30:02+00,2020/03/02 05:55:17+00,1100 - 1199 BLOCK OF 16TH STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396830,137427,38.904693929,-77.0365467771,941004327,
393627,142045,20092321,2020/06/24 15:46:27+00,2020/06/23 15:00:44+00,2020/06/23 16:00:37+00,3700 - 3799 BLOCK OF YUMA STREET NW,THEFT F/AUTO,OTHERS,DAY,3,3E,2,202,Cluster 11,001200 3,001200,Precinct 33,,393627,142045,38.9462769328,-77.0735168737,941004328,
404691,137003,20092775,2020/06/25 12:08:37+00,2020/06/25 10:09:34+00,,740 - 899 BLOCK OF KENILWORTH AVENUE NE,BURGLARY,OTHERS,DAY,7,7D,6,601,Cluster 30,009602 2,009602,Precinct 100,,404691,137003,38.9008675863,-76.9459205865,941004329,
393264,141833,20094550,2020/06/29 11:13:24+00,2020/06/26 20:00:14+00,2020/06/27 02:30:15+00,4227 - 4299 BLOCK OF WISCONSIN AVENUE NW,THEFT F/AUTO,OTHERS,DAY,3,3E,2,202,Cluster 11,001200 4,001200,Precinct 33,,393264,141833,38.9443644692,-77.0777022411,941004330,
