X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
399640,139764,20054946,2020/04/05 01:00:12+00,2020/04/04 23:47:53+00,2020/04/04 23:55:21+00,100 - 299 BLOCK OF FRANKLIN STREET NE,ROBBERY,GUN,EVENING,5,5E,5,502,Cluster 21,009203 1,009203,Precinct 74,,399640,139764,38.9257520469,-77.0041516482,940707662,
397694,146283,20055129,2020/04/05 13:13:56+00,2020/03/30 16:00:15+00,2020/03/30 17:00:24+00,7816  - 7899 BLOCK OF GEORGIA AVENUE NW,THEFT F/AUTO,OTHERS,DAY,4,4A,4,401,Cluster 16,001600 1,001600,Precinct 62,,397694,146283,38.9844739719,-77.0266155312,940707663,
400121,137998,20055246,2020/04/05 20:13:10+00,2020/04/02 11:00:39+00,2020/04/02 19:30:59+00,1300 - 1399 BLOCK OF 4TH STREET NE,MOTOR VEHICLE THEFT,OTHERS,EVENING,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,,400121,137998,38.9098434028,-76.9986048962,940707664,
402238,141232,20055320,2020/04/05 23:26:11+00,2020/04/04 18:00:23+00,2020/04/05 14:00:33+00,4000 - 4099 BLOCK OF 22ND STREET NE,MOTOR VEHICLE THEFT,OTHERS,EVENING,5,5B,5,503,Cluster 24,009400 4,009400,Precinct 69,,402238,141232,38.9389734617,-76.9741858005,940707665,
397977,141500,20056346,2020/04/08 13:09:47+00,2020/04/07 02:00:04+00,2020/04/07 10:30:10+00,4100  - 4199 BLOCK OF 8TH STREET NW,THEFT/OTHER,OTHERS,DAY,4,4C,4,407,Cluster 18,002400 3,002400,Precinct 45,,397977,141500,38.9413882051,-77.0233350734,940707666,
397654,144888,20056831,2020/04/09 19:15:30+00,2020/03/31 00:00:41+00,2020/04/09 12:30:39+00,6658  - 6799 BLOCK OF GEORGIA AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,4,4A,4,401,Cluster 17,001804 2,001804,Precinct 61,,397654,144888,38.9719073941,-77.0270724308,940707667,
400437,136259,20057436,2020/04/10 22:11:19+00,2020/04/08 20:00:48+00,2020/04/09 17:00:50+00,300 - 399 BLOCK OF 8TH STREET NE,THEFT F/AUTO,OTHERS,EVENING,6,6C,1,108,Cluster 25,008302 3,008302,Precinct 85,,400437,136259,38.8941777729,-76.9949625909,940707668,
401175,141425,20057583,2020/04/11 04:20:40+00,2020/04/11 01:35:41+00,2020/04/11 01:37:29+00,1311 - 1399 BLOCK OF TAYLOR STREET NE,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,5,5B,5,504,Cluster 20,009503 3,009503,Precinct 67,,401175,141425,38.9407141267,-76.9864466378,940707669,
397162,140182,20058103,2020/04/12 17:00:55+00,2020/04/12 16:24:09+00,2020/04/12 16:48:03+00,3100 - 3299 BLOCK OF 14TH STREET NW,THEFT/OTHER,OTHERS,DAY,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,,397162,140182,38.9295130123,-77.0327305535,940707670,
398886,138915,20058287,2020/04/13 02:27:22+00,2020/04/13 01:45:07+00,,100 - 149 BLOCK OF V STREET NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,,398886,138915,38.9181033489,-77.0128456669,940707671,
403474,136225,20059692,2020/04/16 17:29:16+00,2020/04/16 16:15:22+00,,300 - 311 BLOCK OF ANACOSTIA AVENUE NE,THEFT/OTHER,OTHERS,DAY,7,7D,6,603,Cluster 32,009604 2,009604,Precinct 101,,403474,136225,38.8938647329,-76.959954501,940707672,
401897,135054,20059813,2020/04/16 22:09:00+00,2020/04/12 19:00:05+00,2020/04/13 16:00:14+00,1800 - 1899 BLOCK OF POTOMAC AVENUE SE,THEFT F/AUTO,OTHERS,EVENING,7,7D,1,107,Cluster 26,006802 2,006802,Precinct 87,,401897,135054,38.8833207415,-76.9781361301,940707673,
404579,137347,20059904,2020/04/17 02:57:58+00,2020/04/17 01:39:44+00,,3500 - 3899 BLOCK OF JAY STREET NE,THEFT/OTHER,OTHERS,EVENING,7,7D,6,601,Cluster 30,009602 2,009602,Precinct 100,,404579,137347,38.9039670503,-76.9472094663,940707674,
401293,140110,20060130,2020/04/17 19:45:01+00,2020/04/17 19:34:18+00,2020/04/17 19:45:55+00,1400 - 1499 BLOCK OF IRVING STREET NE,THEFT F/AUTO,OTHERS,EVENING,5,5B,5,504,Cluster 22,009301 3,009301,Precinct 73,,401293,140110,38.9288680458,-76.9850880119,940707675,
398739,138827,20060458,2020/04/18 15:48:08+00,2020/04/18 14:41:45+00,,1950 - 2035 BLOCK OF 2ND STREET NW,THEFT F/AUTO,OTHERS,DAY,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,,398739,138827,38.9173104173,-77.0145405797,940707676,
400038,137846,20060752,2020/04/19 06:55:12+00,2020/04/19 00:00:47+00,2020/04/19 05:00:02+00,1250 - 1299 BLOCK OF 4TH STREET NE,THEFT F/AUTO,OTHERS,MIDNIGHT,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,,400038,137846,38.9084741421,-76.9995618766,940707677,
401939,140128,20061172,2020/04/20 14:13:18+00,2020/04/01 16:00:32+00,2020/04/01 16:20:46+00,1802 - 1999 BLOCK OF IRVING STREET NE,THEFT/OTHER,OTHERS,DAY,5,5B,5,504,Cluster 22,009400 2,009400,Precinct 70,,401939,140128,38.9290290073,-76.9776377337,940707678,
402823,134227,20000242,2020/01/01 10:59:22+00,2020/01/01 08:20:56+00,,2900 - 2999 BLOCK OF NASH PLACE SE,THEFT/OTHER,OTHERS,MIDNIGHT,7,7B,6,605,Cluster 34,007709 1,007709,Precinct 111,,402823,134227,38.8758683173,-76.9674669165,940707739,
394622,137482,20000468,2020/01/01 23:47:55+00,2020/01/01 19:31:48+00,2020/01/01 19:33:28+00,3100 - 3199 BLOCK OF M STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394622,137482,38.9051786519,-77.0620031271,940707740,
397539,139873,20001570,2020/01/03 18:19:11+00,2020/01/03 15:40:13+00,2020/01/03 15:55:18+00,1100 - 1299 BLOCK OF HARVARD STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,1,1A,3,304,Cluster 2,003600 3,003600,Precinct 36,,397539,139873,38.9267305808,-77.0283815182,940707741,
402965,132500,20001646,2020/01/04 23:17:15+00,2020/01/03 19:46:59+00,2020/01/03 21:27:45+00,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,THEFT F/AUTO,OTHERS,EVENING,7,7B,6,606,Cluster 35,007603 2,007603,Precinct 113,,402965,132500,38.8603103295,-76.9658379147,940707742,
401135,136927,20002310,2020/01/04 22:07:10+00,2020/01/04 03:00:09+00,2020/01/04 16:00:37+00,1300 - 1399 BLOCK OF H STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,,401135,136927,38.9001947352,-76.9869154654,940707743,
400232,135255,20002501,2020/01/06 01:31:39+00,2020/01/05 03:42:19+00,2020/01/05 05:31:18+00,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,THEFT/OTHER,OTHERS,EVENING,6,6B,1,107,Cluster 26,006500 1,006500,Precinct 89,CAPITOL HILL,400232,135255,38.8851334424,-76.9973260165,940707744,
394449,137479,20003183,2020/01/06 17:24:16+00,2020/01/06 15:20:41+00,2020/01/06 16:10:31+00,3200 - 3275 BLOCK OF M STREET NW,THEFT/OTHER,OTHERS,DAY,2,2E,2,206,Cluster 4,000202 4,000202,Precinct 6,GEORGETOWN,394449,137479,38.9051505514,-77.0639976245,940707745,
401480,135000,20003513,2020/01/07 03:20:43+00,2020/01/07 00:05:51+00,2020/01/07 00:09:03+00,1500 - 1599 BLOCK OF E STREET SE,ROBBERY,GUN,EVENING,7,7D,1,107,Cluster 26,006802 2,006802,Precinct 91,,401480,135000,38.8828350895,-76.982942379,940707746,
403516,133455,20004312,2020/01/08 15:08:11+00,2020/01/08 14:40:37+00,,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,THEFT/OTHER,OTHERS,DAY,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,,403516,133455,38.8689113338,-76.9594845298,940707747,
401872,141994,20004455,2020/01/08 20:04:57+00,2020/01/08 18:48:03+00,2020/01/08 20:05:07+00,1922 - 1949 BLOCK OF MICHIGAN AVENUE NE,THEFT F/AUTO,OTHERS,EVENING,5,5B,5,503,Cluster 20,009400 1,009400,Precinct 69,,401872,141994,38.9458386327,-76.9784053463,940707748,
404942,135229,20004815,2020/01/09 05:19:39+00,2020/01/09 04:52:37+00,2020/01/09 08:30:47+00,4200 - 4350 BLOCK OF D STREET SE,ASSAULT W/DANGEROUS WEAPON,GUN,MIDNIGHT,7,7F,6,603,Cluster 33,007703 1,007703,Precinct 103,,404942,135229,38.8848853659,-76.9430397362,940707749,
397769,144596,20004896,2020/01/09 13:07:11+00,2020/01/09 11:20:10+00,2020/01/09 12:30:32+00,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,THEFT F/AUTO,OTHERS,DAY,4,4B,4,402,Cluster 17,001901 4,001901,Precinct 59,,397769,144596,38.9692772885,-77.0257444006,940707750,
393839,139090,20012221,2020/01/21 13:26:36+00,2020/01/21 12:15:02+00,2020/01/21 12:20:33+00,2200 - 2298 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,DAY,3,3B,2,204,Cluster 14,000300 1,000300,Precinct 11,,393839,139090,38.9196589159,-77.0710447823,940707765,
397497,136718,20012410,2020/01/21 18:16:43+00,2020/01/21 17:45:49+00,,1200 - 1299 BLOCK OF G STREET NW,THEFT/OTHER,OTHERS,DAY,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,DOWNTOWN,397497,136718,38.8983091573,-77.0288543832,940707766,
396421,141496,20013557,2020/01/23 14:21:38+00,2020/01/23 13:52:08+00,,4100  - 4199 BLOCK OF 18TH STREET NW,THEFT F/AUTO,OTHERS,DAY,4,4E,4,404,Cluster 18,002600 1,002600,Precinct 47,,396421,141496,38.941347211,-77.0412833324,940707767,
396978,146383,20013838,2020/01/24 00:06:02+00,2020/01/23 21:12:01+00,2020/01/23 21:16:33+00,1400  - 1599 BLOCK OF KALMIA ROAD NW,THEFT F/AUTO,OTHERS,EVENING,4,4A,4,401,Cluster 16,001600 1,001600,Precinct 62,,396978,146383,38.9853726205,-77.0348799439,940707768,
394697,137241,20014091,2020/01/24 04:52:41+00,2020/01/24 03:40:31+00,2020/01/24 04:49:37+00,1000 - 1027 BLOCK OF 31ST STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394697,137241,38.9030080953,-77.0611365892,940707769,
398758,145213,20014291,2020/01/24 16:16:36+00,2020/01/24 15:20:16+00,2020/01/24 15:30:51+00,100  - 199 BLOCK OF CARROLL STREET NW,THEFT F/AUTO,OTHERS,DAY,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,,398758,145213,38.974837325,-77.0143330525,940707770,
394553,137415,20015378,2020/01/26 05:59:07+00,2020/01/26 04:25:36+00,2020/01/26 04:29:28+00,1048 - 1099 BLOCK OF WISCONSIN AVENUE NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,GEORGETOWN,394553,137415,38.9045746677,-77.0627980986,940707771,
402521,139240,20015536,2020/01/26 09:38:38+00,2020/01/26 08:14:43+00,2020/01/26 08:49:26+00,2200 - 2299 BLOCK OF 25TH PLACE NE,THEFT F/AUTO,OTHERS,MIDNIGHT,5,5C,5,503,Cluster 22,011100 1,011100,Precinct 71,,402521,139240,38.921028145,-76.9709288557,940707772,
396578,137120,20015577,2020/01/26 10:57:20+00,2020/01/26 06:00:56+00,2020/01/26 08:30:41+00,900 - 999 BLOCK OF 17TH STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396578,137120,38.9019274199,-77.039450543,940707773,
401111,141158,20016275,2020/01/27 18:30:27+00,2020/01/24 16:14:07+00,2020/01/27 18:31:07+00,1300 - 1399 BLOCK OF RANDOLPH STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5B,5,504,Cluster 20,009503 3,009503,Precinct 68,,401111,141158,38.9383089959,-76.9871852958,940707774,
402183,136751,20016363,2020/01/27 21:24:44+00,2020/01/27 20:19:36+00,2020/01/27 20:51:42+00,1920 - 2099 BLOCK OF BENNING ROAD NE,THEFT/OTHER,OTHERS,EVENING,7,7D,5,507,Cluster 25,007903 1,007903,Precinct 80,,402183,136751,38.8986072862,-76.974834446,940707775,
399488,135159,20016523,2020/01/28 05:01:55+00,2020/01/27 23:20:05+00,2020/01/28 01:52:49+00,400 - 479 BLOCK OF 1ST STREET SE,BURGLARY,OTHERS,MIDNIGHT,6,6B,1,106,Cluster 26,006500 2,006500,Precinct 130,CAPITOL HILL,399488,135159,38.8842685192,-77.0059011334,940707776,
401174,130512,20016538,2020/01/27 05:00:00+00,2020/01/27 23:43:09+00,2020/01/28 00:21:05+00,1303 - 1358 BLOCK OF CONGRESS STREET SE,HOMICIDE,GUN,MIDNIGHT,8,8E,7,705,Cluster 38,007304 4,007304,Precinct 120,,401174,130512,38.8424057778,-76.9864768199,940707777,
397832,138854,20016643,2020/01/28 09:57:48+00,2020/01/28 02:45:35+00,2020/01/28 05:44:21+00,2000 - 2099 BLOCK OF VERMONT AVENUE NW,THEFT F/AUTO,OTHERS,MIDNIGHT,1,1B,3,305,Cluster 3,004401 3,004401,Precinct 137,,397832,138854,38.9175518727,-77.0249992735,940707778,
392471,139964,20016753,2020/01/28 14:03:45+00,2020/01/28 03:00:28+00,2020/01/28 13:00:25+00,4400 - 4428 BLOCK OF GARFIELD STREET NW,BURGLARY,OTHERS,DAY,3,3D,2,205,Cluster 13,000804 3,000804,Precinct 10,,392471,139964,38.9275215283,-77.0868292765,940707779,
403416,135089,20017336,2020/01/29 14:03:57+00,2020/01/29 12:51:36+00,2020/01/29 13:34:03+00,3200 - 3299 BLOCK OF ELY PLACE SE,THEFT F/AUTO,OTHERS,DAY,7,7B,6,603,Cluster 32,007708 2,007708,Precinct 132,,403416,135089,38.8836314455,-76.9606287262,940707780,
397533,142485,20018034,2020/01/30 18:26:56+00,2020/01/30 13:14:26+00,2020/01/30 14:01:57+00,4900  - 4999 BLOCK OF ARKANSAS AVENUE NW,THEFT F/AUTO,OTHERS,DAY,4,4E,4,404,Cluster 18,002002 3,002002,Precinct 54,,397533,142485,38.9502602274,-77.0284601044,940707781,
391723,139960,20018206,2020/01/31 00:31:08+00,2020/01/30 18:37:22+00,2020/01/30 19:52:36+00,2600 - 3199 BLOCK OF CHAIN BRIDGE ROAD NW,THEFT F/AUTO,OTHERS,EVENING,3,3D,2,205,Cluster 13,000804 1,000804,Precinct 8,,391723,139960,38.9274787676,-77.09545564,940707782,
397700,136611,20018388,2020/01/31 01:43:55+00,2020/01/30 22:55:59+00,2020/01/30 23:00:03+00,1000 - 1099 BLOCK OF F STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,DOWNTOWN,397700,136611,38.8973458172,-77.0265138574,940707783,
397563,136543,20018896,2020/01/31 21:00:31+00,2020/01/31 19:40:04+00,2020/01/31 19:47:56+00,500 - 599 BLOCK OF 12TH STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,DOWNTOWN,397563,136543,38.8967328794,-77.0280929197,940707784,
402186,136400,20019387,2020/02/01 16:07:02+00,2020/01/31 23:00:51+00,2020/02/01 15:00:53+00,400 - 499 BLOCK OF 21ST STREET NE,THEFT F/AUTO,OTHERS,DAY,7,7D,5,507,Cluster 25,007903 1,007903,Precinct 80,,402186,136400,38.8954453433,-76.9748009791,940707785,
401601,130970,20019529,2020/02/02 00:36:33+00,2020/02/01 20:29:33+00,2020/02/01 21:06:24+00,1500 - 1699 BLOCK OF ALABAMA AVENUE SE,THEFT/OTHER,OTHERS,EVENING,8,8C,7,704,Cluster 38,007403 1,007403,Precinct 116,,401601,130970,38.8465309715,-76.9815571869,940707786,
402966,140405,20017469,2020/01/29 18:12:20+00,2020/01/29 16:43:10+00,2020/01/29 19:50:42+00,2800 - 2899 BLOCK OF MYRTLE AVENUE NE,ASSAULT W/DANGEROUS WEAPON,KNIFE,DAY,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,,402966,140405,38.9315214421,-76.9657922634,940707793,
401135,136927,20017618,2020/01/29 22:12:22+00,2020/01/29 20:45:41+00,2020/01/29 21:04:21+00,1300 - 1399 BLOCK OF H STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,,401135,136927,38.9001947352,-76.9869154654,940707794,
395709,137490,20017694,2020/01/30 01:43:15+00,2020/01/29 22:00:37+00,2020/01/29 22:05:33+00,2200 - 2299 BLOCK OF M STREET NW,ROBBERY,OTHERS,EVENING,2,2A,2,207,Cluster 5,005501 2,005501,Precinct 4,,395709,137490,38.9052566974,-77.0494711234,940707795,
397729,140733,20017699,2020/01/30 00:23:15+00,2020/01/28 23:49:15+00,2020/01/28 23:51:48+00,3500 - 3699 BLOCK OF ROCK CREEK CHURCH ROAD NW,THEFT/OTHER,OTHERS,EVENING,1,1A,4,408,Cluster 2,002900 1,002900,Precinct 42,,397729,140733,38.9344782368,-77.0261931863,940707796,
397610,137008,20018438,2020/01/31 02:30:24+00,2020/01/31 00:16:56+00,2020/01/31 00:44:30+00,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,DOWNTOWN,397610,137008,38.9009218959,-77.0275527374,940707797,
401165,139245,20018814,2020/01/31 17:43:23+00,2020/01/30 22:00:48+00,2020/01/31 13:00:40+00,1326 - 1399 BLOCK OF BRYANT STREET NE,BURGLARY,OTHERS,DAY,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,,401165,139245,38.9210760304,-76.9865656861,940707798,
399186,133380,20019281,2020/02/01 08:59:52+00,2020/02/01 07:39:27+00,2020/02/08 07:59:41+00,1 - 11 BLOCK OF S STREET SW,ASSAULT W/DANGEROUS WEAPON,KNIFE,MIDNIGHT,6,6D,1,105,Cluster 9,006400 2,006400,Precinct 127,CAPITOL RIVERFRONT,399186,133380,38.8682423551,-77.0093797732,940707799,
399950,128916,20019440,2020/02/01 19:10:56+00,2020/02/01 16:37:09+00,2020/02/01 19:11:13+00,4200 - 4232 BLOCK OF 4TH STREET SE,ASSAULT W/DANGEROUS WEAPON,KNIFE,DAY,8,8E,7,706,Cluster 39,009811 1,009811,Precinct 125,,399950,128916,38.828029062,-77.0005758287,940707800,
402973,132127,20019453,2020/02/01 18:58:11+00,2020/02/01 17:45:37+00,,2700 - 2799 BLOCK OF 29TH STREET SE,THEFT F/AUTO,OTHERS,DAY,7,7B,6,606,Cluster 35,007603 4,007603,Precinct 113,,402973,132127,38.856950161,-76.965747353,940707801,
398374,135355,20019471,2020/02/03 16:39:01+00,2020/02/01 17:37:26+00,2020/02/01 19:38:48+00,400 - 599 BLOCK OF C STREET SW,THEFT/OTHER,OTHERS,DAY,6,6D,1,103,Cluster 9,010202 1,010202,Precinct 142,SOUTHWEST,398374,135355,38.8860328076,-77.0187411722,940707802,
397243,140420,20020089,2020/02/03 02:36:45+00,2020/02/01 18:58:49+00,2020/02/01 19:08:20+00,1330 - 1399 BLOCK OF MONROE STREET NW,THEFT F/AUTO,OTHERS,EVENING,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 41,,397243,140420,38.9316572473,-77.0317973395,940707803,
397610,137008,20020855,2020/02/04 03:34:54+00,2020/02/04 02:18:40+00,2020/02/04 02:24:48+00,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,MOTOR VEHICLE THEFT,OTHERS,EVENING,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,DOWNTOWN,397610,137008,38.9009218959,-77.0275527374,940707804,
399972,143548,20022003,2020/02/05 23:26:33+00,2020/02/05 22:15:24+00,2020/02/05 23:15:43+00,434  - 509 BLOCK OF RIGGS ROAD NE,THEFT/OTHER,OTHERS,EVENING,4,4B,4,406,Cluster 19,009507 1,009507,Precinct 65,,399972,143548,38.9598394774,-77.0003230604,940707805,
396455,139555,20022343,2020/02/06 17:39:41+00,2020/02/06 11:45:21+00,2020/02/06 12:00:19+00,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,THEFT/OTHER,OTHERS,DAY,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,ADAMS MORGAN,396455,139555,38.9238622318,-77.0408811202,940707806,
400134,137356,20023068,2020/02/07 17:26:49+00,2020/02/07 15:24:32+00,2020/02/07 16:27:56+00,1100 - 1119 BLOCK OF 6TH STREET NE,THEFT F/AUTO,OTHERS,DAY,6,6C,5,501,Cluster 25,010602 1,010602,Precinct 83,,400134,137356,38.9040600421,-76.9984551342,940707807,
394010,138833,20023147,2020/02/07 20:19:43+00,2020/02/07 18:07:55+00,2020/02/07 19:39:49+00,2001 - 2112 BLOCK OF WISCONSIN AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,3,3B,2,204,Cluster 14,000400 2,000400,Precinct 12,,394010,138833,38.9173449584,-77.0690706762,940707808,
397200,139695,20023332,2020/02/08 02:02:48+00,2020/02/07 22:51:38+00,2020/02/08 01:19:49+00,2701 - 2798 BLOCK OF 14TH STREET NW,ROBBERY,OTHERS,EVENING,1,1A,3,304,Cluster 2,003600 2,003600,Precinct 36,,397200,139695,38.9251260859,-77.0322903142,940707809,
398813,133729,20029017,2020/02/17 15:25:18+00,2020/02/12 23:25:55+00,2020/02/13 02:00:48+00,1500 - 1599 BLOCK OF 2ND STREET SW,THEFT/OTHER,OTHERS,DAY,6,6D,1,105,Cluster 9,006400 2,006400,Precinct 127,,398813,133729,38.8713858644,-77.0136784782,940707821,
401319,138348,20029107,2020/02/17 18:35:03+00,2020/02/17 08:50:12+00,2020/02/17 18:04:16+00,1800 - 1899 BLOCK OF PROVIDENCE STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,,401319,138348,38.9129953404,-76.984791543,940707822,
392316,142276,20029141,2020/02/17 21:56:50+00,2020/02/17 18:00:29+00,2020/02/17 18:03:12+00,4500 - 4521 BLOCK OF 45TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,3,3E,2,202,Cluster 11,001004 2,001004,Precinct 31,,392316,142276,38.9483473553,-77.0886427259,940707823,
392607,143559,20029261,2020/02/17 23:26:18+00,2020/02/17 22:08:17+00,2020/02/17 22:10:37+00,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,THEFT/OTHER,OTHERS,EVENING,3,3E,2,202,Cluster 11,001100 2,001100,Precinct 32,,392607,143559,38.9599074542,-77.0852995778,940707824,
396069,137976,20029800,2020/02/18 21:39:18+00,2020/02/18 18:50:57+00,2020/02/18 21:37:28+00,2000 - 2016 BLOCK OF P STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2B,2,208,Cluster 6,005502 3,005502,Precinct 14,DUPONT CIRCLE,396069,137976,38.9096364369,-77.0453234506,940707825,
396217.890000001,138008.23,20030319,2020/02/20 11:38:50+00,2020/02/13 13:00:11+00,2020/02/13 21:00:36+00,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,THEFT F/AUTO,OTHERS,MIDNIGHT,2,2B,2,208,Cluster 6,005502 1,005502,Precinct 14,DUPONT CIRCLE,396217.89,138008.23,38.9099274291,-77.0436069637,940707826,
397694,146283,20030906,2020/03/01 20:32:36+00,2020/02/20 16:14:10+00,2020/02/20 17:33:09+00,7816  - 7899 BLOCK OF GEORGIA AVENUE NW,THEFT F/AUTO,OTHERS,EVENING,4,4A,4,401,Cluster 16,001600 1,001600,Precinct 62,,397694,146283,38.9844739719,-77.0266155312,940707827,
398886,139033,20031198,2020/02/21 23:53:01+00,2020/02/20 22:21:52+00,2020/02/21 04:59:38+00,100 - 139 BLOCK OF W STREET NW,BURGLARY,OTHERS,EVENING,5,5E,3,306,Cluster 21,003301 3,003301,Precinct 135,,398886,139033,38.9191663316,-77.0128458583,940707828,
405623,137221,20031422,2020/02/21 11:52:11+00,2020/02/21 08:41:58+00,2020/02/21 10:53:01+00,4700 - 4721 BLOCK OF SHERIFF ROAD NE,BURGLARY,OTHERS,MIDNIGHT,7,7C,6,602,Cluster 31,007809 2,007809,Precinct 94,,405623,137221,38.9028259395,-76.9351743981,940707829,
397228,137120,20031573,2020/02/21 19:45:55+00,2020/02/15 20:45:17+00,2020/02/16 00:00:20+00,900 - 999 BLOCK OF 14TH STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 129,DOWNTOWN,397228,137120,38.9019297101,-77.0319570157,940707830,
397609,137709,20032335,2020/02/22 21:56:37+00,2020/02/22 21:26:20+00,,1100 - 1199 BLOCK OF N STREET NW,THEFT F/AUTO,OTHERS,EVENING,2,2F,3,307,Cluster 7,005004 2,005004,Precinct 17,,397609,137709,38.9072367475,-77.0275667061,940707831,
401950,132982,20032677,2020/02/23 09:19:07+00,2020/02/23 09:01:04+00,2020/02/23 09:19:21+00,1957 - 2099 BLOCK OF 19TH PLACE SE,THEFT/OTHER,OTHERS,MIDNIGHT,8,8A,7,701,Cluster 28,007504 1,007504,Precinct 114,,401950,132982,38.8646552224,-76.9775311565,940707832,
397243,140420,20032825,2020/02/23 19:19:54+00,2020/02/23 18:15:03+00,2020/02/23 18:30:06+00,1330 - 1399 BLOCK OF MONROE STREET NW,THEFT/OTHER,OTHERS,DAY,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 41,,397243,140420,38.9316572473,-77.0317973395,940707833,
397172,138470,20033930,2020/02/25 13:44:39+00,2020/02/03 11:00:11+00,2020/02/24 20:00:16+00,1400 - 1429 BLOCK OF S STREET NW,THEFT/OTHER,OTHERS,DAY,2,2F,3,301,Cluster 3,004300 4,004300,Precinct 141,,397172,138470,38.9140907972,-77.0326081712,940707834,
402309,136595,20034062,2020/02/25 18:46:04+00,2020/02/25 16:55:30+00,2020/02/25 18:03:44+00,500 - 599 BLOCK OF 23RD PLACE NE,THEFT F/AUTO,OTHERS,DAY,7,7D,5,507,Cluster 25,007903 1,007903,Precinct 80,,402309,136595,38.8972016598,-76.9733824465,940707835,
401560,137150,20034294,2020/02/26 00:48:43+00,2020/02/26 00:22:56+00,2020/02/26 00:48:55+00,900 - 999 BLOCK OF BLADENSBURG ROAD NE,THEFT/OTHER,OTHERS,EVENING,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,,401560,137150,38.9022029472,-76.9820154637,940707836,
401147,134664,20034595,2020/02/26 15:23:29+00,2020/02/26 14:25:13+00,2020/02/26 14:49:37+00,1350 - 1399 BLOCK OF POTOMAC AVENUE SE,THEFT/OTHER,OTHERS,DAY,6,6B,1,106,Cluster 26,007100 3,007100,Precinct 91,CAPITOL HILL,401147,134664,38.8798087686,-76.9867809044,940707837,
