lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
33.76,-118.25,3,6,property,0.16666666666666666,1.0114042647073518,property,0.7484,True,0.1463,0.7484,0.1053,10.5,LA,medium
33.77,-118.31,2,4,property,0.5,0.5623351657797391,property,0.7639,True,0.1371,0.7639,0.099,9.9,LA,medium
33.77,-118.3,0,5,property,1.0,4.3446531758480495e-08,property,0.6792,True,0.1225,0.6792,0.1982,19.8,LA,medium
33.77,-118.3,1,4,property,0.25,1.0397207708399179,property,0.7638,True,0.1371,0.7638,0.0991,9.9,LA,medium
33.77,-118.3,2,5,property,0.4,0.9502705392332347,property,0.7628,True,0.1371,0.7628,0.1001,10.0,LA,medium
33.77,-118.3,3,6,other,0.16666666666666666,1.0114042647073518,property,0.7636,False,0.1371,0.7636,0.0993,9.9,LA,medium
33.77,-118.28,0,11,property,0.18181818181818182,1.0670895187820832,property,0.6778,True,0.1221,0.6778,0.2001,20.0,LA,medium
33.77,-118.28,1,6,other,0.3333333333333333,0.6365141893815645,property,0.6786,False,0.1223,0.6786,0.199,19.9,LA,medium
33.77,-118.28,2,11,other,0.18181818181818182,0.9164648855394713,property,0.745,False,0.1402,0.745,0.1148,11.5,LA,medium
33.77,-118.28,3,11,violent,0.2727272727272727,0.9949236325717752,property,0.764,False,0.1371,0.764,0.0989,9.9,LA,medium
33.77,-118.27,0,17,other,0.23529411764705882,0.8463658296262874,property,0.6842,False,0.1238,0.6842,0.1919,19.2,LA,medium
33.77,-118.27,1,26,violent,0.19230769230769232,1.0262864017672833,property,0.6783,False,0.1223,0.6783,0.1994,19.9,LA,medium
33.77,-118.27,2,35,other,0.05714285714285714,1.0954041286732956,property,0.7599,False,0.1368,0.7599,0.1032,10.3,LA,medium
33.77,-118.27,3,45,violent,0.06666666666666667,1.0851886129676505,property,0.6771,False,0.122,0.6771,0.2009,20.1,LA,medium
33.77,-118.26,0,18,property,0.3888888888888889,0.9338238517147219,property,0.723,True,0.1308,0.723,0.1462,14.6,LA,medium
33.77,-118.26,1,12,property,0.0,1.0281838593329258,property,0.764,True,0.1371,0.764,0.0989,9.9,LA,medium
